Nomenclatura  DCB (Original),Número DCB,Nomenclatura  DCI - INN,CAS Number,NCM,NVE
Carbetocina,1730,Carbetocin,37025-55-1,2937.90.90,NVE
Carbidopa Anidra,1731,Carbidopa Anhydrous,28860-95-9,2928.00.20,NVE
Carbinoxamina,1736,Carbinoxamine,486-16-8,2933.39.29,NVE
Carbocisteína,1739,Carbocisteine,638-23-3,2930.90.36,NVE
Carbonato Cobaltoso,n.d.,Cobaltous Carbonate,513-79-1,2836.99.19,NVE
Carbonato de Potássio,1751,Potassium Carbonate,584-08-7,2836.40.00,NVE
Carboplatina,1754,Carboplatin,41575-94-4,2843.90.90,NVE
Carisoprodol,1773,Carisoprodol,78-44-4,2924.19.92,NVE
Carmustina,1781,Carmustine,154-93-8,2924.19.99,NVE
Carnitina,1783,Carnitine,461-06-3,2923.90.90,NVE
Caroxazona  ,1787,Caroxazone,18464-39-6,2934.99.99,NVE
Carvedilol,1808,Carvedilol,72956-09-3,2933.99.99,NVE
Caspofungina,1815,Caspofungin,162808-62-0,2941.90.99,NVE
Cefaclor,9368,Cefaclor,70356-03-5,2941.90.33,NVE
Cefadroxila Monoidratada,11384,Cefadroxil,66592-87-8,2941.90.34,NVE
Cefalexina Anidra,1826,Cephalexin Anhydrous,15686-71-2,2941.90.33,NVE
Cefalexina Monoidratada,1827,Cefalexin Monohydrate,23325-78-2,2941.90.33,NVE
Cefalotina,1835,Cefalotin,153-61-7,2941.90.39,NVE
Cefazolina,1845,Cefazolin,25953-19-9,2941.90.39,NVE
Cefazolina Sódica,1846,Cefazolin Sodium,27164-46-1,2941.90.32,NVE
Cefepima,1855,Cefepime,88040-23-7,2941.90.39,NVE
Cefetamete,1857,Cefetamet,65052-63-3,2941.90.39,NVE
Cefixima,1862,Cefixime,79350-37-1,2941.90.39,NVE
Cefodizima,1870,Cefodizime,69739-16-8,2941.90.39,NVE
Cefoperazona,1872,Cefoperazone,62893-19-0,2941.90.32,NVE
Cefoperazona Sódica,1873,Cefoperazone Sodium,63893-20-3,2941.90.32,NVE
Cefotaxima,1876,Cefotaxime,63527-52-6,2941.90.39,NVE
Cefoxitina,1882,Cefoxitin,35607-66-0,2941.90.36,NVE
Cefoxitina Sódica,1883,Cefoxitin Sodium,33564-30-6,2941.90.36,NVE
Cefpiroma,1886,Cefpirome,84957-29-9,2941.90.39,NVE
Cefpodoxima,1888,Cefpodoxime,80210-62-4,2941.90.39,NVE
Cefprozila Anidra,1889,Cefprozil Anhydrous,92665-29-7,2941.90.39,NVE
Ceftazidima,9370,Ceftazidime,78439-06-2,2941.90.39,NVE
Ceftazidima Anidra,1897,Ceftazidime Anhydrous,72558-82-8,2941.90.39,NVE
Ceftazidima Sódica,1898,Ceftazidime Sodium,73547-61-2,2941.90.39,NVE
Ceftibuteno,1901,Ceftibuten,97519-39-6,2941.90.39,NVE
Ceftizoxima Sódica,1908,Ceftizoxime Sodium,68401-82-1,2941.90.39,NVE
Ceftriaxona,1909,Ceftriaxone,73384-59-5,2941.90.31,NVE
Ceftriaxona Dissódica,1911,Ceftriaxone Dissodium,104376-79-6,2941.90.31,NVE
Cefuroxima,1913,Cefuroxime,55268-75-2,2941.90.39,NVE
Cefuroxima Axetila,953,Cefuroxime Axetil,64544-07-6,2941.90.39,NVE
Cefuroxima Sódica,1914,Cefuroxime Sodium,56238-63-2,2941.90.39,NVE
Celecoxibe  ,1918,Celecoxibe,169590-42-5,2935.90.19,NVE
Cerivastatina,1929,Cerivastatin,145599-86-6,2933.39.99,NVE
Cerivastatina Sódica,1930,Cerivastatin Sodium,143201-11-0,2933.39.19,NVE
Cetamina  ,1936,Ketamine,6740-88-1,2922.39.29,NVE
Cetazolam  ,1942,Ketazolam,27223-35-4,2934.91.41,NVE
Cetirizina,1948,Cetirizine,83881-51-0,2933.59.19,NVE
Cetoconazol,1956,Ketoconazole,65277-42-1,2934.99.31,NVE
Cetoprofeno,1960,Ketoprofen,22071-15-4,2918.30.10,NVE
Cetorolaco,1963,Ketorolac,74103-06-3,2933.99.49,NVE
Cetorolaco Trometamol,1964,Ketorolac Tromethamine,74103-07-4,2933.99.47,NVE
Cetotifeno,1967,Ketotifen,34580-13-7,2934.99.99,NVE
Cetrorrelix,1974,Cetrorelix,120287-85-6,2937.90.90,NVE
Cianocobalamina,1984,Cyanocobalamin,68-19-9,2936.26.10,NVE
Cianocobalamina (57 Co),1985,Cyanocobalamin Co 57,13115-03-2,2844.40.90,NVE
Cianocobalamina (58 Co),1986,Cyanocobalamin Co 58,18195-32-9,2844.40.90,NVE
Cianocobalamina (60 Co),9726,Cyanocobalamin Co 60,13422-53-2,2844.40.90,NVE
Ciclarbamato  ,1997,Cyclarbamate,5779-54-4,2924.29.99,NVE
Ciclexedrina  ,11102,Cyclexedrine,532-52-5,2922.19.99,NVE
Ciclobenzaprina,2012,Cyclobenzaprine,303-53-7,2921.49.90,NVE
Ciclofenila,2017,Cyclofenil,2624-43-3,2915.39.94,NVE
Ciclofosfamida Anidra,2018,Cyclophosphamide Anhydrous,50-18-0,2934.99.99,NVE
Ciclopentolato  ,2027,Cyclopentolate,512-15-2,2922.50.99,NVE
Ciclopirox,2029,Ciclopirox,29342-05-0,2933.79.90,NVE
Ciclosporina,2036,Ciclosporin,59865-13-3,2941.90.99,NVE
Ciclosserina,2037,Cycloserine,68-41-7,2941.90.99,NVE
Cidofovir Anidro,2046,Cidofovir Anhydrous,113852-37-2,2933.59.49,NVE
Cilastatina,2054,Cilastatin,82009-34-5,2930.90.99,NVE
Cilastatina Sódica,2055,Cilastatin Sodium,81129-83-1,2930.90.99,NVE
Cilazapril Anidro,2057,Cilazapril Anhydrous,88768-40-5,2933.99.20,NVE
Cilazaprilate,2058,Cilazaprilat,90139-06-3,2933.99.20,NVE
Cilostazol,2067,Cilostazol,73963-72-1,2933.79.90,NVE
Cimetidina,2073,Cimetidine,51481-61-9,2933.29.30,NVE
Cinamato de Benzila,2080,Benzyl Cinnamate,103-41-3,2916.39.90,NVE
Cinamato de Cloranfenicol,2338,Chloramphenicol Cinnamate,14399-14-5,2941.40.19,NVE
Cinamedrina,2083,Cinnamedrine,90-86-8,2922.19.99,NVE
Cinarina,2088,Cynarine,30964-13-7,2918.29.90,NVE
Cinarizina,2089,Cinarizine,298-57-7,2933.59.19,NVE
Cinchocaína,2091,Cinchocaine,85-79-0,2933.49.90,NVE
Cinchofeno,2093,Cinchophen,132-60-5,2933.49.19,NVE
Cinchofeno Sódico,2094,Cinchophen Sodium,5949-18-8,2933.49.19,NVE
Cinetina,n.d.,Cinetine,525-79-1,2934.99.39,NVE
Cinoxacino,2112,Cinoxacin,28657-80-9,2934.99.99,NVE
Cipionato de Estradiol,3599,Estradiol Cipionate,313-06-4,2937.23.49,NVE
Cipionato de Testosterona  ,8452,Testosterone Cipionate,58-20-8,2937.29.90,NVE
Ciproeptadina,2134,Cyproheptadine,129-03-3,2933.39.99,NVE
Ciprofibrato,2136,Ciprofibrate,52214-84-3,2918.99.99,NVE
Ciprofloxacino,2137,Ciprofloxacin,85721-33-1,2933.59.19,NVE
Ciproterona,2145,Cyproterone,2098-66-0,2937.29.39,NVE
Ciromazina,2152,Cyromazine,66215-27-8,2933.69.99,NVE
Cisaprida  ,2153,Cisapride,81098-60-4,2933.39.19,NVE
Citalopram  ,2161,Citalopram,59729-33-8,2932.99.99,NVE
Citarabina,2164,Cytarabine,147-94-4,2934.99.25,NVE
Citicolina,2170,Citicoline,987-78-0,2934.99.99,NVE
Citicolina Sódica,2171,Citicoline Sodium,33818-15-4,2934.99.99,NVE
Citrato Bismútico de Ranitidina,7638,Ranitidine Bismuth Citrate,128345-62-0,2932.19.10,NVE
Citrato de Butamirato,1581,Butamirate Citrate,18109-81-4,2922.19.99,NVE
Citrato de Butetamato,1598,Butetamate Citrate,3639-12-1,2922.19.99,NVE
Citrato de Cafeína,1643,Caffeine Citrate,69-22-7,2939.30.20,NVE
Citrato de Clomifeno,2293,Clomifene Citrate,50-41-9,2922.19.99,NVE
Citrato de Colina,2580,Choline Citrate,77-91-8,2923.10.00,NVE
Citrato de Dietilcarbamazina,2959,Diethylcarbamazine Citrate,1642-54-2,2933.59.19,NVE
Citrato de Feniltoloxamina,3934,Phenyltoloxamine Citrate,1176-08-5,2922.19.99,NVE
Citrato de Fentanila  ,4005,Fentanyl Citrate,990-73-8,2933.33.69,NVE
Citrato de Ocitocina,6550,Oxytocin Citrate,7563-62-4,2937.19.90,NVE
Citrato de Orfenadrina,6630,Orphenadrine Citrate,4682-36-4,2922.19.21,NVE
Citrato de Oxeladina,6694,Oxeladin Citrate,52432-72-1,2922.19.99,NVE
Citrato de Pentoxiverina,6957,Pentoxyverine Citrate,23142-01-0,2922.19.99,NVE
Citrato de Piperazina Anidro,7101,Piperazine Citrate Anhydrous,144-29-6,2933.59.15,NVE
Citrato de Proxazol,7507,Proxazole Citrate,132-35-4,2934.99.99,NVE
Citrato de Sildenafila,7991,Sildenafil Citrate,171599-83-0,2934.99.99,NVE
Citrato de Sódio Anidro,2182,Sodium Citrate Anhydrous,68-04-2,2918.15.00,NVE
Citrato de Sufentanila  ,8085,Sufentanil Citrate,60561-17-3,2934.91.70,NVE
Citrato de Tamoxifeno,8285,Tamoxifen Citrate,54965-24-1,2922.19.95,NVE
Citrato de Toremifeno,8785,Toremifene Citrate,89778-27-8,2922.19.99,NVE
Citrato de Tripelenamina,8941,Tripelennamine Citrate,6138-56-3,2933.39.99,NVE
Citrato Férrico,2185,Ferric Citrate,2338-05-8,2918.15.00,NVE
Citrulina,2190,Citrulline,372-75-8,2924.19.99,NVE
Cladribina,2193,Cladribine,4291-63-8,2934.99.99,NVE
Clavulanato de Potássio,137,Potassium Clavulanate,61177-45-5,2934.99.99,NVE
Clemastina,2207,Clemastine,15686-51-8,2933.99.41,NVE
Clemizol,2212,Clemizole,442-52-4,2933.99.59,NVE
Clindamicina,2229,Clindamycin,18323-44-9,2941.90.29,NVE
Clioquinol,2235,Clioquinol,130-26-7,2933.49.90,NVE
Clobazam  ,2239,Clobazam,22316-47-8,2933.72.10,NVE
Clobetasol,2245,Clobetasol,25122-41-2,2937.22.90,NVE
Clobetasona,2248,Clobetasone,54063-32-0,2937.22.90,NVE
Clobutinol,2250,Clobutinol,14860-49-2,2922.19.49,NVE
Clodronato Dissódico,9765,Clodronate Disodium,88416-50-6,2931.39.18,NVE
Clodronato Dissódico Anidro,139,Clodronate Disodium Anhydrous,22560-50-5,2931.39.18,NVE
Clofazimina,2268,Clofazimine,2030-63-9,2933.99.93,NVE
Clofibrato,n.d.,Clofibrate,637-07-0,2918.99.99,NVE
Clofibrato de Alumínio,142,Aluminum Clofibrate,24818-79-9,2918.99.99,NVE
Clofibrato de Cálcio,143,Calcium Clofibrate,39087-48-4,2918.99.99,NVE
Clofibrato de Cinarizina,2090,Cinnarizine Clofibrate,60763-49-7,2933.59.19,NVE
Clofibrato de Etila,144,Clofibrate,637-07-0,2918.99.99,NVE
Clofibrato de Magnésio,146,Magnesium Clofibrate,14613-30-0,2918.99.99,NVE
Clomacrana  ,2286,Clomacran,5310-55-4,2933.99.99,NVE
Clometiazol  ,2290,Clomethiazole,533-45-9,2934.10.90,NVE
Clomifeno,2292,Clomifene,911-45-5,2922.19.99,NVE
Clomipramina  ,2296,Clomipramine,303-49-1,2933.99.39,NVE
Clonazepam  ,2300,Clonazepam,1622-61-3,2933.91.13,NVE
Clonidina,2302,Clonidine,4205-90-7,2933.29.29,NVE
Clopamida,2311,Clopamide,636-54-4,2935.90.99,NVE
Cloperastina,2313,Cloperastine,3703-76-2,2933.39.99,NVE
Clopidogrel,2318,Clopidogrel,113665-84-2,2934.99.99,NVE
Cloralodol,2333,Chloralodol,3563-58-4,2909.49.90,NVE
Clorambucila,2335,Chlorambucil,305-03-3,2922.49.90,NVE
Cloranfenicol,2336,Chloramphenicol,56-75-7,2941.40.11,NVE
Clorazepato de Potássio  ,148,Clorazepate Monopotassium,5991-71-9,2933.91.19,NVE
Clorazepato Dipotássico  ,149,Clorazepate Dipotassium,57109-90-7,2933.91.19,NVE
Clordiazepóxido  ,2353,Chlordiazepoxide,58-25-3,2933.91.15,NVE
Cloreto de Acetilcolina,2357,Acetylcholine Chloride,60-31-1,2923.90.20,NVE
Cloreto de Alcurônio,2359,Alcuronium Chloride,15180-03-7,2939.80.00,NVE
Cloreto de Benzetônio,2365,Benzethonium Chloride,121-54-0,2923.90.90,NVE
Cloreto de Benzoxônio,2367,Benzoxonium Chloride,19379-90-9,2923.90.90,NVE
Cloreto de Cálcio (45 Ca),9727,Calcium Chloride Ca 45,14336-71-1,2844.40.90,NVE
Cloreto de Cálcio (47 Ca),10031,Calcium Chloride Ca 47,n.d.,2844.40.90,NVE
Cloreto de Cetalcônio,2374,Cetalkonium Chloride,122-18-9,2923.90.50,NVE
Cloreto de Cetilpiridínio Anidro,2376,Cetylpyridinium Chloride Anhydrous,123-03-5,2933.39.99,NVE
Cloreto de Colina,2581,Choline Chloride,67-48-1,2923.10.00,NVE
Cloreto de Dequalínio,2379,Dequalinium Chloride,522-51-0,2933.49.90,NVE
Cloreto de Estrôncio (85 Sr),9728,Strontium Chloride Sr 85,24359-46-4,2844.40.90,NVE
Cloreto de Estrôncio (89 Sr),9729,Strontium Chloride Sr 89,38270-90-5,2844.40.90,NVE
Cloreto de Índio (113m In),9730,Indium Chloride In 113m,10025-82-8,2844.40.90,NVE
Cloreto de Metacolina,2401,Methacholine Chloride,62-51-1,2923.90.20,NVE
Cloreto de Metilbenzetônio Anidro,2403,Methylbenzethonium Chloride Anhydrous,25155-18-4,2923.90.90,NVE
Cloreto de Metiltionínio Anidro,2405,Methylthioninium Chloride Anhydrous,61-73-4,2934.30.90,NVE
Cloreto de Mivacúrio,6027,Mivacurium Chloride,106861-44-3,2933.49.90,NVE
Cloreto de Pirvínio,2412,Pyrvinium Chloride,548-84-5,2933.49.90,NVE
Cloreto de Sódio (22 Na),9731,Sodium Chloride Na 22,17112-21-9,2844.40.90,NVE
Cloreto de Suxametônio,8243,Suxamethonium Chloride,71-27-2,2923.90.90,NVE
Cloreto de Suxetônio,2422,Suxethonium Chloride,54063-57-9,2923.90.90,NVE
Cloreto de Tálio (201 Tl),9732,Thallous Chloride Tl 201,55172-29-7,2844.40.90,NVE
Cloreto de Zinco (65 Zn),9733,Zinc Chloride Zn 65,24359-56-6,2844.40.90,NVE
Clorexidina,2434,Chlorhexidine,55-56-1,2925.29.23,NVE
Clorexolona,2438,Clorexolone,2127-01-7,2935.90.99,NVE
Clorfenesina,2444,Chlorphenesin,104-29-0,2909.49.90,NVE
Clorfeniramina,2439,Chlorpheniramine,132-22-9,2933.39.99,NVE
Clorfenoxamina,2446,Chlorphenoxamine,77-38-3,2922.19.99,NVE
Cloridrato de Acebutolol,21,Acebutolol Hydrochloride,34381-68-5,2924.29.99,NVE
Cloridrato de Aceclidina,26,Aceclidine Hydrochloride,6109-70-2,2933.39.49,NVE
Cloridrato de Adifenina,424,Adiphenine Hydrochloride,50-42-0,2922.19.99,NVE
Cloridrato de Alfentanila  ,9638,Alfentanil Hydrochloride,70879-28-6,2933.33.19,NVE
Cloridrato de Alfuzosina,540,Alfuzosin Hydrochloride,81403-68-1,2934.99.99,NVE
Cloridrato de Alizaprida,562,Alizapride Hydrochloride,59338-87-3,2933.99.49,NVE
Cloridrato de Amantadina  ,623,Amantadine Hydrochloride,665-66-7,2921.30.90,NVE
Cloridrato de Ambroxol,632,Ambroxol Hydrochloride,23828-92-4,2922.19.31,NVE
Cloridrato de Amilocaína,668,Amylocaine Hydrochloride,532-59-2,2922.19.99,NVE
Cloridrato de Amilorida Di-Hidratado,10890,Amiloride Hydrochloride,17440-83-4,2933.99.12,NVE
Cloridrato de Amineptina  ,677,Amineptine Hydrochloride,30272-08-3,2922.49.90,NVE
Cloridrato de Amiodarona,700,Amiodarone Hydrochloride,19774-82-4,2932.99.91,NVE
Cloridrato de Amitriptilina  ,712,Amitriptylin Hydrochloride,549-18-8,2921.49.90,NVE
Cloridrato de Amorolfina,728,Amorolfine Hydrochloride,78613-38-4,2934.99.19,NVE
Cloridrato de Anagrelida,752,Anagrelide Hydrochloride,58579-51-4,2933.59.99,NVE
Cloridrato de Anfepramona  ,775,Amfepramone Hydrochloride,134-80-5,2922.31.12,NVE
Cloridrato de Apomorfina Anidro,831,Apomorphine Hydrochloride Anhydrous,314-19-2,2933.99.99,NVE
Cloridrato de Apraclonidina,837,Apraclonidine Hydrochloride,73218-79-8,2933.29.29,NVE
Cloridrato de Arginina,869,Arginine Hydrochloride,1119-34-2,2925.29.19,NVE
Cloridrato de Articaína,891,Articaíne Hydrochloride,23964-57-0,2934.99.99,NVE
Cloridrato de Azelastina,987,Azelastine Hydrochloride,79307-93-0,2933.99.39,NVE
Cloridrato de Bacampicilina,1008,Bacampicillin Hydrochloride,37661-08-8,2941.10.90,NVE
Cloridrato de Bambuterol,1020,Bambuterol Hydrochloride,81732-46-9,2924.29.99,NVE
Cloridrato de Bamifilina,1024,Bamifylline Hydrochloride,20684-06-4,2939.59.90,NVE
Cloridrato de Barnidipino,1036,Barnidipine Hydrochloride,104757-53-1,2933.39.99,NVE
Cloridrato de Benazepril,1088,Benazepril Hydrochloride,86541-74-4,2933.79.90,NVE
Cloridrato de Benserazida,1118,Benserazide Hydrochloride,14919-77-8,2928.00.90,NVE
Cloridrato de Benzidamina,1139,Benzydamine Hydrochloride,132-69-4,2933.99.99,NVE
Cloridrato de Betaína,1202,Betaine Hydrochloride,590-46-5,2923.90.10,NVE
Cloridrato de Betaxolol,1230,Betaxolol Hydrochloride,63659-19-8,2922.19.99,NVE
Cloridrato de Biperideno  ,1283,Biperiden Hydrochloride,1235-82-1,2933.39.32,NVE
Cloridrato de Bromexina,1460,Bromhexine Hydrochloride,611-75-6,2921.59.90,NVE
Cloridrato de Bromoprida,1472,Bromopride Hydrochloride,52423-56-0,2924.29.59,NVE
Cloridrato de Buflomedil,1524,Buflomedil Hydrochloride,35543-24-9,2933.99.45,NVE
Cloridrato de Bupivacaína Monoidratado,11219,Bupivacaine Hydrochloride,73360-54-0,2933.39.83,NVE
Cloridrato de Buprenorfina  ,1556,Buprenorphine Hydrochloride,53152-21-9,2939.11.21,NVE
Cloridrato de Bupropiona  ,1558,Bupropion Hydrochloride,31677-93-7,2922.39.90,NVE
Cloridrato de Buspirona  ,1565,Buspirone Hydrochloride,33386-08-2,2933.59.16,NVE
Cloridrato de Cambendazol,1662,Cambendazole Hydrochloride,76345-76-1,2934.10.90,NVE
Cloridrato de Carnitina,1784,Carnitine Hydrochloride,56-99-5,2923.90.90,NVE
Cloridrato de Carteolol,1806,Carteolol Hydrochloride,51781-21-6,2933.79.90,NVE
Cloridrato de Cefalexina,1829,Cefalexin Hydrochloride,105879-42-3,2941.90.39,NVE
Cloridrato de Cefepima,1856,Cefepime Hydrochloride,123171-59-5,2941.90.39,NVE
Cloridrato de Cetamina  ,1937,Ketamine Hydrochloride,1867-66-9,2922.39.21,NVE
Cloridrato de Ciclobenzaprina,2013,Cyclobenzaprine Hydrochloride,6202-23-9,2921.49.90,NVE
Cloridrato de Ciclopentolato  ,2028,Cyclopentolate Hydrochloride,5870-29-1,2922.50.99,NVE
Cloridrato de Cimetidina,2074,Cimetidine Hydrochloride,70059-30-2,2933.29.30,NVE
Cloridrato de Cinchocaína,2092,Cinchocaine Hydrochloride,61-12-1,2933.49.90,NVE
Cloridrato de Ciproeptadina,n.d.,Cyproheptadine Hydrochloride,6032-06-0,2933.39.99,NVE
Cloridrato de Ciprofloxacino,9410,Ciprofloxacin Hydrochloride,86393-32-0,2933.59.19,NVE
Cloridrato de Citalopram  ,2163,Citalopram Hydrochloride,85118-27-0,2932.99.99,NVE
Cloridrato de Citarabina,2165,Cytarabine Hydrochloride,29363-79-9,2934.99.29,NVE
Cloridrato de Citrulina,2191,Citrulline Hydrochloride,34312-10-2,2924.19.99,NVE
Cloridrato de Clembuterol,2210,Clenbuterol Hydrochloride,21898-19-1,2922.19.93,NVE
Cloridrato de Clemizol,2214,Clemizole Hydrochloride,1163-36-6,2933.99.59,NVE
Cloridrato de Clindamicina,2230,Clindamycin Hydrochloride,58207-19-5,2941.90.29,NVE
Cloridrato de Clindamicina Monoidratado,9969,Clindamycin Hydrochloride Monohydrate,58207-19-5,2941.90.29,NVE
Cloridrato de Clobutinol,2251,Clobutinol Hydrochloride,1215-83-4,2922.19.41,NVE
Cloridrato de Clomipramina  ,2297,Clomipramine Hydrochloride,17321-77-6,2933.99.33,NVE
Cloridrato de Clonidina,2303,Clonidine Hydrochloride,4205-91-8,2933.29.23,NVE
Cloridrato de Cloperastina,2314,Cloperastine Hydrochloride,14984-68-0,2933.39.99,NVE
Cloridrato de Clordiazepóxido  ,2354,Chlordiazepoxide Hydrochloride,438-41-5,2933.91.19,NVE
Cloridrato de Clorfeniramina,2441,Chlorpheniramine Hydrochloride,132-22-9,2933.39.99,NVE
Cloridrato de Clorfenoxamina,2447,Chlorphenoxamine Hydrochloride,562-09-4,2922.19.99,NVE
Cloridrato de Clormetina,2470,Chlormethine Hydrochloride,55-86-7,2921.19.99,NVE
Cloridrato de Clorpromazina  ,2503,Chlorpromazine Hydrochloride,69-09-0,2934.30.90,NVE
Cloridrato de Clortetraciclina,2515,Chlortetracycline Hydrochloride,64-72-2,2941.30.90,NVE
Cloridrato de Dapiprazol,2684,Dapiprazole Hydrochloride,72822-13-0,2933.59.19,NVE
Cloridrato de Daunorrubicina,2696,Daunorubicin Hydrochloride,23541-50-6,2941.90.49,NVE
Cloridrato de Deferroxamina,2725,Deferoxamine Hydrochloride,1950-39-6,2928.00.90,NVE
Cloridrato de Delapril,2733,Delapril Dihydrochloride,83435-67-0,2924.29.49,NVE
Cloridrato de Dexmedetomidina  ,2851,Dexmedetomidine Hydrochloride,145108-58-3,2933.29.99,NVE
Cloridrato de Dextrobupivacaina,9640,Bupivacaine Hydrochloride,73360-54-0,2933.39.83,NVE
Cloridrato de Dextrometorfano  ,2877,Dextromethorphan Hydrochloride,18609-21-7,2933.99.99,NVE
Cloridrato de Dextropropoxifeno  ,2883,Dextropropoxyphene Hydrochloride,1639-60-7,2922.19.96,NVE
Cloridrato de Dicicloverina,2923,Dicycloverine Hydrochloride,67-92-5,2922.19.99,NVE
Cloridrato de Difenidol,2976,Difenidol Hydrochloride,3254-89-5,2933.39.99,NVE
Cloridrato de Difenidramina,2979,Diphenhydramine Hydrochloride,147-24-0,2922.19.99,NVE
Cloridrato de Difenilpiralina,2984,Diphenylpyraline Hydrochloride,132-18-3,2933.39.99,NVE
Cloridrato de Difenoxilato  ,2987,Diphenoxylate Hydrochloride,3810-80-8,2933.33.42,NVE
Cloridrato de Diltiazem,3038,Diltiazem Hydrochloride,33286-22-5,2934.99.49,NVE
Cloridrato de Dipivefrina,3123,Dipivefrine Hydrochloride,64019-93-8,2922.50.99,NVE
Cloridrato de Dobutamina,3164,Dobutamine Hydrochloride,49745-95-1,2922.29.90,NVE
Cloridrato de Donepezila  ,3182,Donepezil Hydrochloride,142057-77-0,2933.39.89,NVE
Cloridrato de Dopamina,3187,Dopamine Hydrochloride,62-31-7,2922.29.90,NVE
Cloridrato de Dorzolamida,3200,Dorzolamide Hydrochloride,130693-82-2,2935.90.99,NVE
Cloridrato de Doxapram,n.d.,Doxapram Hydrochloride,7081-53-0,2934.99.99,NVE
Cloridrato de Doxiciclina,3218,Doxycycline Hydrochloride,10592-13-9,2941.30.90,NVE
Cloridrato de Doxorrubicina,3229,Doxorubicin Hydrochloride,25316-40-9,2941.90.49,NVE
Cloridrato de Duloxetina  ,3263,Duloxetine Hydrochloride,136434-34-9,2934.99.99,NVE
Cloridrato de Efedrina  ,3310,Ephedrine Hydrochloride,50-98-6,2939.41.00,NVE
Cloridrato de Eflornitina,3317,Eflornithine Hydrochloride,96020-91-6,2922.49.90,NVE
Cloridrato de Epinastina,3440,Epinastine Hydrochloride,108929-04-0,2933.99.39,NVE
Cloridrato de Epinefrina,3444,Epinephrine Hydrochloride,55-31-2,2937.90.90,NVE
Cloridrato de Epirrubicina,3448,Epirubicin Hydrochloride,56390-09-1,2941.90.49,NVE
Cloridrato de Ergotamina  ,3486,Ergotamine Hydrochloride,6045-58-5,2939.62.00,NVE
Cloridrato de Esmolol,3526,Esmolol Hydrochloride,81161-17-3,2922.19.99,NVE
Cloridrato de Estreptomicina,3620,Streptomycin Hydrochloride,6160-32-3,2941.20.90,NVE
Cloridrato de Etafedrina  ,3638,Etafedrine Hydrochloride,5591-29-7,2939.49.00,NVE
Cloridrato de Etaverina,3656,Ethaverine Hydrochloride,985-13-7,2933.49.90,NVE
Cloridrato de Etilefrina,3679,Etilefrine Hydrochloride,943-17-9,2922.50.99,NVE
Cloridrato de Etilmorfina  ,3690,Ethylmorphine Hydrochloride,6746-59-4,2939.11.31,NVE
Cloridrato de Femproporex  ,3849,Fenproporex Hydrochloride,18305-29-8,2926.30.12,NVE
Cloridrato de Fenazopiridina,3878,Phenazopyridine Hydrochloride,136-40-3,2933.39.91,NVE
Cloridrato de Fenformina,3915,Phenformin Hydrochloride,834-28-6,2925.29.90,NVE
Cloridrato de Fenilefrina,3926,Phenylephrine Hydrochloride,61-76-7,2922.50.11,NVE
Cloridrato de Fenoterol,3983,Fenoterol Hydrochloride,1944-10-1,2922.50.99,NVE
Cloridrato de Fenoxazolina,3988,Fenoxazoline Hydrochloride,21370-21-8,2933.29.99,NVE
Cloridrato de Fexofenadina,4038,Fexofenadine Hydrochloride,153439-40-8,2933.39.39,NVE
Cloridrato de Flavoxato,4066,Flavoxate Hydrochloride,3717-88-2,2934.99.99,NVE
Cloridrato de Fluoxetina  ,4177,Fluoxetine Hydrochloride,59333-67-4,2922.19.19,NVE
Cloridrato de Gencitabina,4420,Gemcitabine Hydrochloride,122111-03-9,2934.99.29,NVE
Cloridrato de Glicinato de Tianfenicol,8524,Thiamphenicol Glycinate Hydrochloride,2611-61-2,2941.40.20,NVE
Cloridrato de Gonadorrelina,4526,Gonadorelin Hydrochloride,51952-41-1,2937.90.90,NVE
Cloridrato de Granisetrona,2457,Granisetron Hydrochloride,107007-99-8,2933.39.99,NVE
Cloridrato de Haloperidol  ,4590,Haloperidol Hydrochloride,1511-16-6,2933.39.19,NVE
Cloridrato de Heptaminol,4615,Heptaminol Hydrochloride,543-15-7,2922.19.99,NVE
Cloridrato de Hidralazina,4647,Hydralazine Hydrochloride,304-20-1,2933.99.99,NVE
Cloridrato de Hidromorfona  ,4679,Hydromorphone Hydrochloride,71-68-1,2939.11.53,NVE
Cloridrato de Hidroxocobalamina,4721,Hydroxocobalamin Hydrochloride,58288-50-9,2936.26.30,NVE
Cloridrato de Ibopamina,4761,Ibopamine Hydrochloride,75011-65-3,2922.29.90,NVE
Cloridrato de Idarrubicina,4791,Idarubicin Hydrochloride,57852-57-0,2941.90.49,NVE
Cloridrato de Imipramina  ,4837,Imipramine Hydrochloride,113-52-0,2933.99.39,NVE
Cloridrato de Iofetamina (123 I),9735,Iofetamine Hydrochloride I 123,85068-76-4,2844.40.90,NVE
Cloridrato de Ioimbina,5001,Yohimbine Hydrochloride,65-19-0,2939.79.90,NVE
Cloridrato de Irinotecano,5052,Irinotecan Hydrochloride,100286-90-6,2939.80.00,NVE
Cloridrato de Isometepteno,5090,Isometheptene Hydrochloride,6168-86-1,2921.19.99,NVE
Cloridrato de Isoprenalina,5097,Isoprenaline Hydrochloride,51-30-9,2922.50.99,NVE
Cloridrato de Isotipendil,5108,Isothipendyl Hydrochloride,1225-60-1,2934.99.99,NVE
Cloridrato de Isoxsuprina,5115,Isoxsuprine Hydrochloride,579-56-6,2922.50.99,NVE
