Nomenclatura  DCB (Original),Número DCB,Nomenclatura  DCI - INN,CAS Number,NCM,NVE
Ditranol,3153,Dithranol,480-22-8,2914.50.90,NVE
Divalproato de Sódio  ,373,Sodium Divalproate,76584-70-8,2915.60.29,NVE
Dixirazina  ,11166,Dixyrazine,2470-73-7,2934.30.90,NVE
Dobesilato de Cálcio,3160,Calcium Dobesilate,20123-80-2,2908.99.90,NVE
Dobutamina,3162,Dobutamine,34368-04-2,2922.29.90,NVE
Docetaxel Anidro,3167,Docetaxel Anhydrous,114977-28-5,2932.99.99,NVE
Docusato de Cálcio,3171,Docusate Calcium,128-49-4,2917.19.90,NVE
Docusato de Sódio,3172,Docusate Sodium,577-11-7,2917.19.10,NVE
Dofetilida,3173,Dofetilide,11526-11-6,2935.90.99,NVE
Domperidona,3179,Domperidone,57808-66-9,2933.39.29,NVE
Donepezila  ,3181,Donepezil,120014-06-4,2933.39.99,NVE
Dopamina,3186,Dopamine,51-61-6,2922.29.90,NVE
Doramectina,3192,Doramectin,117704-25-3,2932.99.99,NVE
Dorzolamida,3199,Dorzolamide,120279-96-1,2935.90.99,NVE
Doxazosina,3209,Doxazosin,74191-85-8,2934.99.39,NVE
Doxepina  ,3213,Doxepin,1668-19-5,2932.99.99,NVE
Doxiciclina Anidra,3217,Doxycycline Anhydrous,564-25-0,2941.30.90,NVE
Doxilamina,3225,Doxylamine,469-21-6,2933.39.99,NVE
Doxofilina,3227,Doxofylline,69975-86-6,2939.59.90,NVE
Doxorrubicina,3228,Doxorubicin,23214-92-8,2941.90.49,NVE
Droperidol  ,3246,Droperidol,548-73-2,2933.39.12,NVE
Dropropizina,3248,Dropropizine,17692-31-8,2933.59.19,NVE
Drospirenona,3249,Drospirenone,67392-87-4,2932.20.00,NVE
Drostanolona  ,3250,Drostanolone,58-19-5,2937.29.90,NVE
Droxicam,3256,Droxicam,90101-16-9,2934.99.99,NVE
Duloxetina  ,3262,Duloxetine,116539-59-4,2934.99.99,NVE
Ebastina,3273,Ebastine,90729-43-4,2933.39.99,NVE
Econazol,3290,Econazole,27220-47-9,2933.29.21,NVE
Ectilureia  ,3294,Ectylurea,95-04-5,2924.19.99,NVE
Edetato Cálcico de Piperazina Anidro,7103,Piperazine Edetate Calcium Anhydrous,12002-30-1,2933.59.15,NVE
Edetato Crômico (51 Cr),9736,Chromium Cr 51 Edetate,27849-89-4,2844.40.90,NVE
Edetato Dissódico Anidro,168,Edetate Disodium Anhydrous,139-33-3,2922.49.20,NVE
Efavirenz,3308,Efavirenz,154598-52-4,2933.39.99,NVE
Efedrina  ,3309,Ephedrine,90-81-3,2939.41.00,NVE
Embonato de Amitriptilina  ,713,Amitriptyline Embonate,2349-90-8,2921.49.90,NVE
Embonato de Clorpromazina  ,2504,Chlorpromazine Embonate,58901-20-5,2934.30.90,NVE
Embonato de Hidroxizina,4718,Hydroxyzine Embonate,10246-75-0,2933.59.19,NVE
Embonato de Imipramina  ,4838,Imipramine Embonate,10075-24-8,2933.99.39,NVE
Embonato de Metformina,5783,Metformin Embonate,34461-22-8,2925.29.90,NVE
Embonato de Pirantel,7137,Pyrantel Embonate,22204-24-6,2934.99.69,NVE
Embonato de Pirvínio,3346,Pyrvinium Embonate,3546-41-6,2933.49.90,NVE
Emedastina,3351,Emedastine,87233-61-2,2933.99.59,NVE
Emilcamato  ,3356,Emylcamate,78-28-4,2924.19.99,NVE
Enalapril,3369,Enalapril,75847-73-3,2933.99.49,NVE
Enalaprilate Anidro,3371,Enalaprilat Anhydrous,76420-72-9,2933.99.49,NVE
Enantato de Estradiol,3602,Estradiol Enanthate,4956-37-0,2937.23.49,NVE
Enantato de Flufenazina  ,4126,Fluphenazine Enanthate,2746-81-8,2934.30.20,NVE
Enantato de Noretisterona,6493,Norethisterone Enanthate,3836-23-5,2937.23.99,NVE
Endralazina,3383,Endralazine,39715-02-1,2933.99.99,NVE
Enflurano  ,3389,Enflurane,13838-16-9,2909.19.90,NVE
Enfuvirtida  ,3390,Enfuvirtide,159519-65-0,2933.29.99,NVE
